"date","20150618","20150619","20150620","20150621","20150622","20150623","20150624","20150625","20150626","20150627","20150628","20150629","20150630","20150701","20150702","20150703","20150704","20150705","20150706","20150707","20150708","20150709","20150710","20150711","20150712","20150713","20150714","20150715","20150716","20150717","20150718","20150719","20150720","20150721","20150722","20150723","20150724","20150725","20150726","20150727","20150728","20150729","20150730","20150731","20150801","20150802","20150803","20150804","20150805","20150806","20150807","20150808","20150809","20150810","20150811","20150812","20150813","20150814","20150815","20150816","20150817","20150818","20150819","20150820","20150821","20150822","20150823","20150824","20150825","20150826","20150827","20150828","20150829","20150830","20150831","20150901","20150902","20150903","20150904","20150905","20150906","20150907","20150908","20150909","20150910","20150911","20150912","20150913","20150914","20150915","20150916","20150917","20150918","20150919","20150920","20150921","20150922","20150923","20150924","20150925","20150926","20150927","20150928","20150929","20150930","20151001","20151002","20151003","20151004","20151005","20151006","20151007","20151008","20151009","20151010","20151011","20151012","20151013","20151014","20151015","20151016","20151017","20151018","20151019","20151020","20151021","20151022","20151023","20151024","20151025","20151026","20151027","20151028","20151029","20151030","20151031","20151101","20151102","20151103","20151104","20151105","20151106","20151107","20151108","20151109","20151110","20151111","20151112","20151113","20151114","20151115","20151116","20151117","20151118","20151119","20151120","20151121","20151122","20151123","20151124","20151125","20151126","20151127","20151128","20151129","20151130","20151201","20151202","20151203","20151204","20151205","20151206","20151207","20151208","20151209","20151210","20151211","20151212","20151213","20151214","20151215","20151216","20151217","20151218","20151219","20151220","20151221","20151222","20151223","20151224","20151225","20151226","20151227","20151228","20151229","20151230","20151231","20160101","20160102","20160103","20160104","20160105","20160106","20160107","20160108","20160109","20160110","20160111","20160112","20160113","20160114","20160115","20160116","20160117","20160118","20160119","20160120","20160121","20160122","20160123","20160124","20160125","20160126","20160127","20160128","20160129","20160130","20160131","20160201","20160202","20160203","20160204","20160205","20160206","20160207","20160208","20160209","20160210","20160211","20160212","20160213","20160214","20160215","20160216","20160217","20160218","20160219","20160220","20160221","20160222","20160223","20160224","20160225","20160226","20160227","20160228","20160229","20160301","20160302","20160303","20160304","20160305","20160306","20160307","20160308","20160309","20160310","20160311","20160312","20160313","20160314","20160315","20160316","20160317","20160318","20160319","20160320","20160321","20160322","20160323","20160324","20160325","20160326","20160327","20160328","20160329","20160330","20160331","20160401","20160402","20160403","20160404","20160405","20160406","20160407","20160408","20160409","20160410","20160411","20160412","20160413","20160414","20160415","20160416","20160417","20160418","20160419","20160420","20160421","20160422","20160423","20160424","20160425","20160426","20160427","20160428","20160429","20160430","20160501","20160502","20160503","20160504","20160505","20160506","20160507","20160508","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615","20160616","20160617"
"Fremont","19","22","19","20","19","19","20","20","20","19","19","20","20","20","22","22","19","19","19","19","20","22","20","19","20","20","20","20","21","23","21","20","20","20","20","20","19","19","20","20","18","20","22","21","18","19","20","19","21","19","22","19","19","19","21","19","22","20","19","19","21","20","21","21","19","18","19","20","17","18","19","17","18","18","17","15","17","20","18","17","19","18","17","17","18","20","16","871","17","17","18","19","19","19","19","17","18","18","19","18","18","21","18","18","18","19","20","18","21","20","18","18","22","19","17","18","19","19","22","22","18","18","21","18","18","18","20","18","17","21","18","17","18","20","19","19","20","17","17","20","21","18","18","18","20","19","18","21","18","20","23","18","19","19","21","18","19","24","18","18","19","23","18","18","24","18","20","19","19","23","20","19","22","18","19","22","17","18","18","18","21","18","22","18","18","17","18","21","18","18","19","18","18","20","18","18","18","19","18","19","19","17","18","20","17","19","23","20","18","18","23","17","19","24","18","18","18","21","18","20","22","18","31","16","18","16","17","23","19","18","32","21","20","17","19","20","17","18","20","22","18","19","20","20","19","23","19","69","21","18","18","19","20","20","18","22","17","17","17","20","17","18","22","17","17","18","20","17","17","20","17","17","17","18","17","19","17","18","16","16","15","16","17","21","20","16","15","15","20","17","18","17","15","17","20","26","15","18","22","30","19","20","17","18","16","23","19","17","19","22","18","20","18","16","18","20","18","19","19","17","17","20","22","17","18","16","20","20","19","22","19","19","20","17","17","18","20","19","23","17","19","22","21","20","20","21","19","16","19","19","18","19","17","20","17","18","18","19","18","18","21","18","17","17","16",""
"IDC","41","42","26","27","25","28","29","37","36","28","27","22","24","34","40","36","23","23","31","28","34","41","37","24","24","23","26","36","39","38","25","25","25","26","23","35","49","41","32","25","29","30","37","37","27","28","24","26","34","41","38","24","25","22","23","24","31","22","20","22","22","23","24","27","24","21","22","18","23","20","25","18","20","19","21","20","21","27","17","18","23","19","20","19","19","26","23","123","20","19","20","25","25","18","23","18","19","18","31","24","21","25","18","20","20","18","30","18","18","19","17","16","26","24","20","25","19","22","21","32","21","18","26","21","21","20","29","17","19","17","21","19","18","31","23","18","26","18","17","22","43","18","18","18","29","21","17","34","18","18","30","19","21","17","41","18","18","28","18","18","21","23","45","17","34","23","21","18","22","33","17","31","22","17","22","40","24","17","19","19","29","18","32","19","19","18","19","18","19","19","17","17","20","18","17","18","17","17","17","18","19","18","19","37","20","18","24","26","19","19","38","18","17","35","19","20","24","32","18","25","46","32","18","32","28","41","17","33","28","22","49","39","28","21","20","30","20","21","18","29","17","21","29","20","21","32","18","18","25","18","20","19","17","32","20","27","19","20","20","25","17","20","28","18","22","17","30","22","18","27","21","19","19","27","19","19","33","20","18","17","16","20","18","32","29","22","19","16","40","17","18","24","16","16","28","19","18","17","22","18","16","27","15","17","17","28","18","15","32","18","16","18","25","16","19","30","16","17","25","17","20","17","26","16","17","19","29","32","17","28","20","17","25","19","31","24","30","16","29","28","17","28","16","23","20","17","21","26","23","19","26","25","18","29","22","17","16","33","16","0","21","18","17","17","16",""
"vCommander+Fremont","22","20","20","24","24","26","20","28","29","28","29","28","30","25","26","28","25","23","28","25","30","26","25","23","26","27","28","25","27","31","27","29","26","34","30","26","27","29","30","27","30","31","29","26","26","29","26","29","29","24","25","27","28","26","28","20","23","25","21","23","23","25","22","20","27","21","29","25","28","24","29","24","23","24","26","20","22","25","16","23","26","24","29","21","29","21","0","14","24","26","25","24","28","21","26","22","21","23","22","22","21","28","23","26","29","23","26","23","27","27","29","29","27","27","24","27","30","30","27","29","26","25","28","29","29","23","28","26","24","28","24","23","26","25","22","18","22","26","28","24","27","24","22","29","21","33","24","25","23","20","27","23","28","33","29","26","22","27","31","30","26","32","25","24","30","28","26","30","31","31","28","31","32","33","34","27","19","21","20","19","19","20","22","21","21","19","20","20","20","21","21","21","19","20","20","20","20","21","19","19","20","20","20","21","21","20","20","20","21","20","21","21","22","20","20","21","21","21","20","21","20","20","20","21","21","20","22","21","21","20","24","21","22","21","20","19","20","22","20","21","24","19","20","21","20","20","20","17","24","20","20","21","22","26","25","23","21","20","24","21","22","23","19","21","21","19","21","21","21","22","20","21","20","19","21","20","20","19","20","20","20","20","20","20","20","20","20","20","20","21","19","20","20","19","19","20","20","20","19","18","19","19","22","20","20","23","22","19","20","23","24","19","18","20","23","21","20","19","19","20","21","20","20","21","22","20","19","19","20","21","20","20","20","19","20","21","20","19","20","20","19","19","21","20","21","21","20","20","18","22","20","22","20","20","20","19","20","21","21","23","20","19","20","20","20",""
"vCommander+IDC","20","19","20","20","19","19","17","18","20","22","22","20","20","21","20","22","22","25","21","21","19","21","20","18","21","21","21","20","21","23","19","19","18","20","20","18","20","20","17","19","20","19","20","21","20","20","20","22","20","23","24","23","23","21","21","19","20","21","20","22","22","21","20","20","21","21","27","22","23","24","22","21","21","23","23","23","23","24","21","22","22","18","21","21","26","22","20","0","30","22","26","23","23","22","24","22","22","23","25","24","22","26","24","24","24","24","23","23","24","26","27","21","26","25","22","25","25","29","27","30","24","23","24","24","24","24","27","26","22","26","27","26","26","25","23","25","24","28","27","28","29","25","23","26","24","24","24","27","25","23","25","25","24","27","26","27","24","28","26","31","32","28","25","22","26","23","24","26","24","24","23","26","25","22","22","27","22","26","26","26","29","22","24","21","23","30","34","27","30","26","26","23","28","28","26","27","24","28","25","30","37","33","33","27","32","28","39","29","39","35","31","34","26","35","32","32","27","25","29","27","35","30","24","31","24","31","33","33","30","35","25","30","36","31","20","18","16","16","27","18","16","15","29","21","21","22","0","15","17","17","19","18","0","29","16","15","16","55","13","16","36","17","15","17","16","16","16","17","16","16","16","15","21","25","21","15","16","15","14","15","15","15","15","14","15","15","16","17","15","0","0","15","18","15","16","14","22","15","16","15","15","16","16","16","15","18","16","15","16","16","16","14","20","16","16","15","15","15","18","15","16","15","16","16","15","17","15","15","16","14","16","15","15","15","16","16","16","15","16","16","15","16","20","22","16","15","15","13","15","16","16","15","15","16","15","12","17","17","17","0","17","15","16","17","16",""
