"date","20150615","20150616","20150617","20150618","20150619","20150620","20150621","20150622","20150623","20150624","20150625","20150626","20150627","20150628","20150629","20150630","20150701","20150702","20150703","20150704","20150705","20150706","20150707","20150708","20150709","20150710","20150711","20150712","20150713","20150714","20150715","20150716","20150717","20150718","20150719","20150720","20150721","20150722","20150723","20150724","20150725","20150726","20150727","20150728","20150729","20150730","20150731","20150801","20150802","20150803","20150804","20150805","20150806","20150807","20150808","20150809","20150810","20150811","20150812","20150813","20150814","20150815","20150816","20150817","20150818","20150819","20150820","20150821","20150822","20150823","20150824","20150825","20150826","20150827","20150828","20150829","20150830","20150831","20150901","20150902","20150903","20150904","20150905","20150906","20150907","20150908","20150909","20150910","20150911","20150912","20150913","20150914","20150915","20150916","20150917","20150918","20150919","20150920","20150921","20150922","20150923","20150924","20150925","20150926","20150927","20150928","20150929","20150930","20151001","20151002","20151003","20151004","20151005","20151006","20151007","20151008","20151009","20151010","20151011","20151012","20151013","20151014","20151015","20151016","20151017","20151018","20151019","20151020","20151021","20151022","20151023","20151024","20151025","20151026","20151027","20151028","20151029","20151030","20151031","20151101","20151102","20151103","20151104","20151105","20151106","20151107","20151108","20151109","20151110","20151111","20151112","20151113","20151114","20151115","20151116","20151117","20151118","20151119","20151120","20151121","20151122","20151123","20151124","20151125","20151126","20151127","20151128","20151129","20151130","20151201","20151202","20151203","20151204","20151205","20151206","20151207","20151208","20151209","20151210","20151211","20151212","20151213","20151214","20151215","20151216","20151217","20151218","20151219","20151220","20151221","20151222","20151223","20151224","20151225","20151226","20151227","20151228","20151229","20151230","20151231","20160101","20160102","20160103","20160104","20160105","20160106","20160107","20160108","20160109","20160110","20160111","20160112","20160113","20160114","20160115","20160116","20160117","20160118","20160119","20160120","20160121","20160122","20160123","20160124","20160125","20160126","20160127","20160128","20160129","20160130","20160131","20160201","20160202","20160203","20160204","20160205","20160206","20160207","20160208","20160209","20160210","20160211","20160212","20160213","20160214","20160215","20160216","20160217","20160218","20160219","20160220","20160221","20160222","20160223","20160224","20160225","20160226","20160227","20160228","20160229","20160301","20160302","20160303","20160304","20160305","20160306","20160307","20160308","20160309","20160310","20160311","20160312","20160313","20160314","20160315","20160316","20160317","20160318","20160319","20160320","20160321","20160322","20160323","20160324","20160325","20160326","20160327","20160328","20160329","20160330","20160331","20160401","20160402","20160403","20160404","20160405","20160406","20160407","20160408","20160409","20160410","20160411","20160412","20160413","20160414","20160415","20160416","20160417","20160418","20160419","20160420","20160421","20160422","20160423","20160424","20160425","20160426","20160427","20160428","20160429","20160430","20160501","20160502","20160503","20160504","20160505","20160506","20160507","20160508","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615"
"Fremont","18","18","18","19","20","19","19","19","18","19","19","19","19","18","20","19","19","21","21","19","19","18","18","18","20","20","19","19","19","19","19","20","21","21","20","19","19","19","19","19","18","19","18","18","18","19","19","18","19","19","19","19","19","20","19","19","18","20","19","19","19","19","18","20","18","20","20","19","18","19","19","16","16","16","16","16","16","15","15","16","16","18","18","18","18","16","15","17","16","15","948","16","16","16","17","18","18","18","16","16","17","18","18","18","18","16","17","16","18","19","16","19","17","17","17","18","17","16","17","16","17","18","20","17","18","18","16","16","18","18","17","17","18","16","17","17","17","17","19","18","17","16","18","18","17","18","18","17","16","17","18","17","20","20","17","18","18","19","16","19","19","17","18","18","21","18","18","20","18","18","18","18","19","20","17","18","18","18","19","16","18","17","16","18","16","19","16","18","16","17","18","17","18","18","18","17","18","16","18","18","18","16","18","18","16","16","17","16","18","18","17","16","17","20","16","18","21","16","17","18","19","17","17","19","16","16","16","16","16","16","20","18","17","28","18","17","16","16","18","16","16","18","18","16","17","18","18","18","20","17","22","18","16","17","17","18","18","17","20","16","16","16","17","16","17","18","16","16","16","17","16","16","18","16","16","16","17","16","19","15","15","15","15","15","15","16","18","16","15","15","15","16","16","16","15","15","15","16","18","15","16","16","26","18","17","16","16","16","18","17","16","16","19","16","16","16","16","17","18","16","18","16","16","16","16","20","16","16","15","16","16","16","18","16","18","16","16","16","17","16","17","21","15","16","17","18","18","17","19","17","16","16","16","16","16","16","16","16","17","17","18","16","16","18","16","16","16"
"IDC","28","27","36","43","36","24","24","25","26","27","34","33","23","23","21","21","36","38","31","19","22","30","26","33","45","34","21","22","21","24","33","42","36","20","20","24","27","22","40","60","29","27","23","27","30","36","38","27","23","22","24","33","39","40","21","24","22","22","23","26","21","18","20","21","21","21","22","22","18","21","18","21","19","18","18","17","19","20","20","19","20","19","18","20","19","21","19","17","22","16","19","19","19","19","20","21","18","21","17","18","16","34","20","21","21","18","20","19","19","36","19","18","19","18","17","22","19","21","21","19","21","20","24","19","18","21","21","22","20","20","18","19","18","19","19","19","21","19","18","21","17","16","18","54","18","17","17","20","20","17","21","18","17","22","18","20","17","47","19","17","19","18","19","18","19","55","17","22","20","19","18","17","42","17","22","19","18","19","40","19","17","19","19","21","18","21","19","17","18","17","19","19","16","18","17","18","17","17","19","16","18","17","17","20","18","20","39","19","17","20","21","19","19","45","19","16","21","18","21","20","20","18","19","30","21","17","21","19","20","17","22","20","21","42","25","20","21","19","21","18","20","18","35","17","20","21","19","18","41","19","19","18","17","20","19","17","36","17","23","18","18","18","20","16","21","33","17","20","17","37","20","17","22","19","18","18","20","18","20","37","18","17","17","16","18","21","40","21","18","17","16","44","17","16","21","16","16","32","19","18","16","17","16","16","34","15","17","16","21","17","15","33","17","16","19","21","17","18","35","16","16","20","17","18","16","33","16","17","18","20","17","17","20","17","16","33","16","18","16","17","16","34","34","16","20","16","17","15","16","20","20","17","16","16","34","21","37","16","16","16","40","16","0","16","16","16","16"
"vCommander+Fremont","22","22","24","20","19","19","23","23","24","19","28","28","28","28","26","31","23","26","29","25","23","27","22","30","25","24","25","26","27","26","24","25","32","26","27","25","33","29","26","27","26","31","21","33","30","27","24","26","26","23","27","25","22","24","25","27","24","26","20","21","23","20","22","22","23","22","20","25","20","25","21","24","20","27","24","20","22","22","20","20","21","21","23","23","23","22","21","25","22","0","17","21","22","25","21","24","20","22","21","22","20","21","21","20","24","23","22","24","22","25","20","25","25","25","28","23","25","20","23","25","22","21","27","21","25","23","27","25","21","24","24","23","24","22","22","26","23","22","18","22","23","21","24","25","22","22","24","19","22","22","24","22","20","27","22","22","31","25","25","22","27","23","21","24","31","25","23","25","26","20","23","23","23","24","25","24","27","30","24","19","20","19","19","19","19","20","21","21","19","20","20","20","20","21","21","19","20","20","20","20","20","19","18","20","20","20","20","21","20","19","20","20","20","20","22","21","20","20","21","20","20","21","22","20","20","20","20","21","20","21","20","20","20","23","20","21","20","20","19","20","21","20","21","22","18","20","20","20","20","20","15","23","19","20","20","20","26","27","22","20","19","23","20","22","20","19","19","20","19","20","21","21","19","20","20","20","19","21","20","20","19","20","20","20","20","21","20","20","19","20","19","20","21","19","20","20","19","19","19","21","20","19","18","19","18","21","20","19","21","20","19","20","22","23","18","17","19","22","20","19","18","19","19","20","19","19","20","22","20","18","18","19","20","19","20","20","19","19","21","20","17","20","19","19","19","21","20","20","21","19","20","17","22","19","21","21","20","20","19","20","21","21","22","20","20","19","21"
"vCommander+IDC","18","21","17","19","18","18","20","19","20","17","19","19","22","22","20","21","22","20","23","22","23","22","20","20","22","19","18","21","22","20","19","22","22","19","19","18","19","19","18","20","19","17","19","19","19","19","19","19","20","20","23","20","23","23","23","24","20","20","19","20","21","21","23","20","21","20","20","20","21","22","21","23","24","22","21","20","23","23","23","21","23","20","21","22","18","22","22","25","22","20","0","21","23","26","22","22","21","25","22","22","23","25","23","23","27","24","24","23","24","22","24","24","26","26","21","26","24","22","25","24","29","25","27","23","22","24","23","25","24","28","26","22","26","27","25","25","26","22","25","24","28","26","26","25","26","23","26","23","23","25","27","25","23","25","24","25","25","27","27","24","30","27","27","32","28","24","22","28","22","24","26","23","23","22","26","24","23","21","26","22","21","27","25","29","22","23","22","23","31","30","27","30","26","26","24","28","27","26","27","23","27","26","30","38","29","29","24","30","28","42","30","38","36","27","33","23","33","31","30","28","21","29","26","37","29","25","27","21","30","35","33","28","36","22","25","34","30","18","18","15","15","23","17","17","15","28","18","18","18","0","14","17","16","18","18","0","25","16","15","16","63","13","15","36","18","16","17","15","16","16","16","16","15","16","15","21","22","18","15","15","14","14","14","15","14","14","14","14","13","15","15","15","0","0","15","18","15","16","14","19","15","15","15","15","15","15","16","14","16","16","15","15","15","15","14","15","15","15","15","15","14","15","15","15","15","15","16","15","17","15","15","15","15","16","15","15","14","15","16","15","15","15","15","15","15","16","17","16","15","15","14","15","15","15","15","14","16","14","14","16","17","16","0","17","15","16","17"
