"date","20150622","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613"
"Fremont","5","6","4","4","4","3","3","4","4","4","4","4","4","3","3","3","3","4","17","18","19","9","11","10","8","10","10","11","11","10","6","6","4","6","3","3","4","3","3","4","4","4","5","8","9","10","12","13","12","18","10","11"
"IDC","5","4","5","6","5","10","5","6","5","5","5","5","5","3","4","4","4","6","20","22","22","13","12","12","12","11","11","13","13","14","6","7","3","3","3","4","3","3","4","5","4","5","5","5","7","12","13","11","13","9","7","8"
"vCommander+Fremont","9","8","6","6","5","6","6","7","7","7","7","8","7","6","6","7","7","8","24","23","23","14","15","15","13","14","14","13","13","14","9","9","6","6","6","7","6","6","6","7","7","7","8","27","9","9","9","10","10","6","7","6"
"vCommander+IDC","8","6","7","7","6","6","7","7","7","7","8","8","7","6","6","7","7","7","23","23","23","14","15","14","13","14","14","14","13","15","9","9","6","7","45","279","196","53","8","51","7","127","242","8","9","10","10","10","10","6","6","6"
