"date","20150616","20150617","20150618","20150619","20150620","20150621","20150622","20150623","20150624","20150625","20150626","20150627","20150628","20150629","20150630","20150701","20150702","20150703","20150704","20150705","20150706","20150707","20150708","20150709","20150710","20150711","20150712","20150713","20150714","20150715","20150716","20150717","20150718","20150719","20150720","20150721","20150722","20150723","20150724","20150725","20150726","20150727","20150728","20150729","20150730","20150731","20150801","20150802","20150803","20150804","20150805","20150806","20150807","20150808","20150809","20150810","20150811","20150812","20150813","20150814","20150815","20150816","20150817","20150818","20150819","20150820","20150821","20150822","20150823","20150824","20150825","20150826","20150827","20150828","20150829","20150830","20150831","20150901","20150902","20150903","20150904","20150905","20150906","20150907","20150908","20150909","20150910","20150911","20150912","20150913","20150914","20150915","20150916","20150917","20150918","20150919","20150920","20150921","20150922","20150923","20150924","20150925","20150926","20150927","20150928","20150929","20150930","20151001","20151002","20151003","20151004","20151005","20151006","20151007","20151008","20151009","20151010","20151011","20151012","20151013","20151014","20151015","20151016","20151017","20151018","20151019","20151020","20151021","20151022","20151023","20151024","20151025","20151026","20151027","20151028","20151029","20151030","20151031","20151101","20151102","20151103","20151104","20151105","20151106","20151107","20151108","20151109","20151110","20151111","20151112","20151113","20151114","20151115","20151116","20151117","20151118","20151119","20151120","20151121","20151122","20151123","20151124","20151125","20151126","20151127","20151128","20151129","20151130","20151201","20151202","20151203","20151204","20151205","20151206","20151207","20151208","20151209","20151210","20151211","20151212","20151213","20151214","20151215","20151216","20151217","20151218","20151219","20151220","20151221","20151222","20151223","20151224","20151225","20151226","20151227","20151228","20151229","20151230","20151231","20160101","20160102","20160103","20160104","20160105","20160106","20160107","20160108","20160109","20160110","20160111","20160112","20160113","20160114","20160115","20160116","20160117","20160118","20160119","20160120","20160121","20160122","20160123","20160124","20160125","20160126","20160127","20160128","20160129","20160130","20160131","20160201","20160202","20160203","20160204","20160205","20160206","20160207","20160208","20160209","20160210","20160211","20160212","20160213","20160214","20160215","20160216","20160217","20160218","20160219","20160220","20160221","20160222","20160223","20160224","20160225","20160226","20160227","20160228","20160229","20160301","20160302","20160303","20160304","20160305","20160306","20160307","20160308","20160309","20160310","20160311","20160312","20160313","20160314","20160315","20160316","20160317","20160318","20160319","20160320","20160321","20160322","20160323","20160324","20160325","20160326","20160327","20160328","20160329","20160330","20160331","20160401","20160402","20160403","20160404","20160405","20160406","20160407","20160408","20160409","20160410","20160411","20160412","20160413","20160414","20160415","20160416","20160417","20160418","20160419","20160420","20160421","20160422","20160423","20160424","20160425","20160426","20160427","20160428","20160429","20160430","20160501","20160502","20160503","20160504","20160505","20160506","20160507","20160508","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615"
"Fremont","5","5","6","123","3","4","4","5","6","5","8","2","3","35","3","3","57","4","3","3","4","4","4","4","88","3","4","4","4","44","4","96","3","3","3","4","3","3","3","2","3","3","3","3","3","4","3","3","3","4","3","4","4","3","4","4","101","4","4","88","3","4","54","31","84","76","4","4","4","4","4","4","4","4","4","4","4","4","4","4","36","4","4","4","4","4","3","4","3","63","3","3","2","3","35","3","2","3","2","3","51","25","3","3","3","3","3","29","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","9","9","10","18","17","19","17","16","18","18","19","18","20","43","17","18","19","19","18","18","19","16","19","19","11","9","10","10","9","13","9","10","10","11","11","11","12","9","10","9","11","10","9","11","9","9","9","8","10","7","8","8","8","10","11","10","9","8","11","10","9","12","8","10","7","71","86","9","10","10","10","9","10","11","9","11","9","9","10","11","10","38","16","35","9","12","9","11","8","6","5","5","6","5","6","6","6","6","6","6","6","6","6","4","3","3","43","5","4","5","6","7","4","5","7","5","3","4","5","3","4","4","4","3","4","4","3","2","2","17","48","50","38","2","3","3","3","3","3","4","4","3","3","3","3","4","3","3","3","3","3","36","87","4","3","3","3","3","3","4","4","3","4","4","4","4","4","4","4","4","5","4","4","9","237","9","9","16","12","12","10","10","11","10","81","11","11","119","149","10","14","10","14","11","11","11","11","16","12","11","407","64","11","10","10","13","11","260","16","346","12","18","15","13","17","299","17","14","12","14","79","103","12","324","8","19","7","244","10","8","9","7","8","23","11","15","13","12","7","22","11","11","13"
"IDC","5","8","8","6","5","5","6","6","7","5","4","5","5","4","4","5","5","5","5","5","5","6","5","6","6","4","5","5","5","6","5","35","8","4","4","4","4","40","8","29","4","8","5","6","5","6","5","5","5","5","7","5","8","5","5","6","5","5","5","5","4","4","5","5","5","6","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","8","55","9","40","9","6","4","11","5","3","9","8","10","8","9","5","4","5","4","5","8","8","162","8","8","9","4","4","9","4","9","9","10","10","10","11","5","11","13","17","25","23","27","20","24","20","25","21","23","28","24","22","24","25","25","26","41","23","21","26","28","14","13","233","15","15","18","14","15","14","184","11","16","17","16","14","13","14","255","12","19","12","14","13","16","223","14","18","15","17","12","268","13","15","16","15","17","18","24","11","15","19","17","14","12","21","14","15","19","11","11","12","15","14","16","15","16","22","17","261","16","20","20","28","20","18","233","6","12","18","17","16","13","18","12","14","84","28","13","15","20","29","17","33","22","11","26","44","16","11","15","18","11","10","11","189","9","10","31","10","11","312","9","38","10","10","9","10","9","268","9","22","13","10","9","28","9","12","22","9","14","9","144","9","10","13","10","10","10","23","9","19","36","18","11","9","11","10","10","25","44","12","10","9","294","18","9","31","26","16","196","7","11","10","26","17","11","252","10","11","11","46","11","12","147","8","11","11","73","20","16","354","11","15","18","12","14","47","151","12","11","12","20","12","12","17","14","12","18","14","13","13","12","13","304","190","14","12","13","21","5","8","8","51","10","9","9","365","8","254","10","11","12","35","11","0","15","9","8","9"
"vCommander+Fremont","33","63","93","74","110","38","42","44","40","35","18","15","17","17","28","15","16","19","14","24","20","31","20","17","20","15","19","17","22","19","21","22","15","16","15","22","21","18","21","19","21","53","20","18","35","29","26","25","25","28","27","19","21","21","23","25","23","22","22","24","20","20","19","20","24","20","25","20","18","19","22","19","26","21","17","20","21","17","20","18","18","18","21","23","21","19","30","16","0","19","16","18","22","18","21","16","16","16","15","18","17","16","18","20","16","21","20","20","20","16","21","22","26","23","22","21","16","20","22","19","20","19","18","24","25","32","36","33","36","37","33","36","37","36","39","38","34","31","30","33","35","36","36","34","31","40","32","27","28","24","26","23","27","25","26","30","33","29","32","31","32","31","28","35","28","21","25","26","29","25","24","23","25","28","30","35","31","28","24","26","23","26","29","31","29","25","26","22","31","28","27","27","28","25","24","25","23","27","27","29","23","23","25","24","27","30","28","23","23","30","29","25","22","23","23","22","20","21","22","22","25","23","24","22","19","19","21","21","19","16","20","17","20","20","22","25","21","24","34","24","23","19","20","17","18","20","22","24","32","22","21","18","19","26","19","27","21","23","21","22","26","24","23","18","19","19","18","18","22","17","20","18","19","21","21","18","22","17","19","20","19","26","25","22","19","19","17","21","20","35","24","23","17","21","26","22","18","18","21","20","17","22","22","182","50","37","37","35","26","24","24","24","26","21","23","22","25","21","20","21","23","23","20","18","22","23","25","21","18","23","22","25","20","26","22","24","25","26","23","64","24","24","22","22","20","18","21","19","17","18","25","22","126","23","20","18","17","18","17","19","20","21","17","17","17","19"
"vCommander+IDC","21","22","43","32","19","18","18","23","11","19","11","12","14","14","14","14","14","12","14","15","14","15","15","14","12","13","14","15","15","15","13","14","21","13","13","14","16","13","13","13","21","15","14","13","15","15","15","14","14","16","17","13","15","13","14","13","16","13","15","15","16","16","16","15","15","16","15","15","16","16","14","17","14","15","15","17","18","16","16","19","15","16","16","14","18","15","17","13","15","0","14","16","15","14","14","13","15","12","14","16","18","15","13","14","14","17","14","17","15","14","16","15","16","14","16","14","14","15","15","18","15","26","19","20","23","30","30","35","33","31","26","33","30","30","31","37","30","29","28","33","31","34","33","31","33","34","28","22","22","24","17","23","24","26","25","25","24","23","26","23","24","25","30","27","22","23","21","26","26","26","23","21","16","25","26","23","20","25","20","20","27","25","21","25","26","21","23","26","31","27","28","25","23","22","24","27","25","23","27","20","24","25","35","29","33","31","25","24","34","33","34","29","27","26","24","32","28","27","23","28","26","23","32","28","22","26","30","25","25","25","26","26","20","32","28","25","22","21","19","16","87","109","131","241","348","316","87","355","0","505","163","207","221","498","0","691","336","631","491","561","1280","609","685","254","294","64","19","18","106","147","17","19","19","18","171","108","319","238","21","16","17","16","18","17","17","21","15","17","71","124","296","0","0","179","306","623","343","398","379","82","86","20","19","15","19","17","19","24","17","17","19","18","17","19","18","21","19","18","17","18","21","19","20","17","20","20","19","20","19","20","18","19","18","18","18","19","18","18","18","18","18","24","20","18","17","16","14","14","14","14","13","14","15","14","12","16","14","14","17","15","15","0","13","15","15","16"
