"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","6","17","29","81","37","24","60","35","27","79","47","82","35","29","56","37","8","8","6","31","23","23","14","43","19","32","6","1","10","38","25","20","123","50","53","56","55","104","271","61","20","355","115","15","19","5","10","4","11","46","15","9","28"
"IDC","2","11","3","18","7","12","12","5","72","28","19","31","2","2","34","2","2","2","2","13","2","4","4","2","2","6","1","1","2","1","3","9","11","10","2","1","43","1","8","2","96","2","2","2","10","28","3","10","103","112","17","3","15"
"vCommander+Fremont","29","61","87","42","36","147","16","18","29","27","20","20","11","23","17","17","11","11","7","8","8","7","11","17","15","5","10","6","14","10","28","26","30","18","21","22","19","29","113","22","60","37","10","2","3","1","6","12","6","60","13","1","15"
"vCommander+IDC","1","1","1","1","1","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","15","1","1","1","1","1","8","100","94","7","7","4","4","10","3","168","9","2","11","4","1","1","2","58","26","14","2","13"
