"date","20150618","20150619","20150620","20150621","20150622","20150623","20150624","20150625","20150626","20150627","20150628","20150629","20150630","20150701","20150702","20150703","20150704","20150705","20150706","20150707","20150708","20150709","20150710","20150711","20150712","20150713","20150714","20150715","20150716","20150717","20150718","20150719","20150720","20150721","20150722","20150723","20150724","20150725","20150726","20150727","20150728","20150729","20150730","20150731","20150801","20150802","20150803","20150804","20150805","20150806","20150807","20150808","20150809","20150810","20150811","20150812","20150813","20150814","20150815","20150816","20150817","20150818","20150819","20150820","20150821","20150822","20150823","20150824","20150825","20150826","20150827","20150828","20150829","20150830","20150831","20150901","20150902","20150903","20150904","20150905","20150906","20150907","20150908","20150909","20150910","20150911","20150912","20150913","20150914","20150915","20150916","20150917","20150918","20150919","20150920","20150921","20150922","20150923","20150924","20150925","20150926","20150927","20150928","20150929","20150930","20151001","20151002","20151003","20151004","20151005","20151006","20151007","20151008","20151009","20151010","20151011","20151012","20151013","20151014","20151015","20151016","20151017","20151018","20151019","20151020","20151021","20151022","20151023","20151024","20151025","20151026","20151027","20151028","20151029","20151030","20151031","20151101","20151102","20151103","20151104","20151105","20151106","20151107","20151108","20151109","20151110","20151111","20151112","20151113","20151114","20151115","20151116","20151117","20151118","20151119","20151120","20151121","20151122","20151123","20151124","20151125","20151126","20151127","20151128","20151129","20151130","20151201","20151202","20151203","20151204","20151205","20151206","20151207","20151208","20151209","20151210","20151211","20151212","20151213","20151214","20151215","20151216","20151217","20151218","20151219","20151220","20151221","20151222","20151223","20151224","20151225","20151226","20151227","20151228","20151229","20151230","20151231","20160101","20160102","20160103","20160104","20160105","20160106","20160107","20160108","20160109","20160110","20160111","20160112","20160113","20160114","20160115","20160116","20160117","20160118","20160119","20160120","20160121","20160122","20160123","20160124","20160125","20160126","20160127","20160128","20160129","20160130","20160131","20160201","20160202","20160203","20160204","20160205","20160206","20160207","20160208","20160209","20160210","20160211","20160212","20160213","20160214","20160215","20160216","20160217","20160218","20160219","20160220","20160221","20160222","20160223","20160224","20160225","20160226","20160227","20160228","20160229","20160301","20160302","20160303","20160304","20160305","20160306","20160307","20160308","20160309","20160310","20160311","20160312","20160313","20160314","20160315","20160316","20160317","20160318","20160319","20160320","20160321","20160322","20160323","20160324","20160325","20160326","20160327","20160328","20160329","20160330","20160331","20160401","20160402","20160403","20160404","20160405","20160406","20160407","20160408","20160409","20160410","20160411","20160412","20160413","20160414","20160415","20160416","20160417","20160418","20160419","20160420","20160421","20160422","20160423","20160424","20160425","20160426","20160427","20160428","20160429","20160430","20160501","20160502","20160503","20160504","20160505","20160506","20160507","20160508","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615","20160616","20160617"
"Fremont","10","27","2","2","11","18","7","9","28","2","4","24","130","15","18","18","2","11","10","9","5","10","7","2","6","5","21","4","9","68","2","5","4","35","3","5","5","2","4","6","3","15","13","6","2","3","3","18","3","3","3","2","2","7","3","3","2","3","2","2","7","2","2","10","2","2","2","4","22","2","14","11","2","2","2","2","2","2","2","2","12","6","2","2","2","2","2","100","9","3","3","2","2","2","2","2","2","7","11","2","2","2","2","2","5","3","21","2","2","6","23","12","2","2","2","4","3","2","2","2","2","2","2","2","3","3","4","2","2","2","2","2","5","6","3","2","3","2","34","20","21","2","2","2","2","6","3","2","3","2","2","2","6","9","11","2","1","2","3","2","2","2","2","2","2","10","2","2","2","2","1","2","2","4","2","2","2","2","2","2","5","2","2","2","2","5","2","11","2","3","2","2","2","2","3","2","3","2","2","2","2","2","2","2","2","2","2","6","7","2","7","2","2","2","10","2","2","2","2","1","8","6","49","179","6","20","2","2","2","18","5","27","6","2","2","8","24","2","10","3","2","2","3","3","2","6","8","2","4","6","10","4","7","6","2","2","5","2","2","3","13","2","3","43","13","58","9","73","240","12","231","146","271","291","139","244","15","116","24","2","5","5","2","2","2","3","5","5","2","2","2","3","10","4","87","17","1","2","6","2","3","2","2","2","4","11","13","2","10","13","2","2","15","11","25","2","4","2","8","2","5","8","2","7","2","2","2","20","9","2","13","2","10","3","5","6","3","2","2","3","6","2","2","2","2","2","2","2","13","196","2","4","2","2","2","4","18","13","2","2","5","2","14","7","10",""
"IDC","5","10","3","3","4","4","5","17","27","4","4","4","33","340","6","4","3","545","23","5","5","5","5","4","4","29","5","5","5","6","4","102","7","4","5","5","8","4","4","5","53","6","5","6","5","5","5","5","36","4","6","5","5","5","5","21","7","16","4","4","3","5","4","8","4","4","4","4","156","4","3","5","4","4","4","4","43","5","3","3","3","7","14","3","3","4","2","3","23","3","3","3","3","3","2","3","3","3","3","4","2","3","3","3","17","3","4","3","3","3","2","3","3","3","3","3","3","4","3","2","6","2","3","3","2","3","2","3","2","3","3","2","3","2","2","3","7","3","2","3","3","3","3","3","3","5","6","19","3","3","3","3","2","3","3","3","4","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","6","2","3","3","3","4","3","4","2","2","15","2","3","2","3","2","3","2","3","3","2","3","3","3","2","2","6","6","6","3","3","3","3","2","4","3","2","2","2","2","2","3","2","2","3","2","3","4","259","184","56","42","5","10","24","33","9","12","11","12","6","16","22","15","15","14","2","2","9","2","3","7","2","2","3","3","2","3","2","2","2","3","3","4","16","3","23","4","2","3","2","106","2","3","4","5","2","2","2","7","3","19","4","5","16","4","2","3","3","3","3","3","3","51","4","393","4","3","45","6","4","3","3","3","11","22","4","2","5","2","7","2","2","2","4","3","2","6","3","3","3","2","2","2","3","2","3","43","2","2","2","2","3","3","3","2","2","2","2","3","3","2","2","2","3","2","2","2","3","3","2","2","2","365","2","546","2","2","2","2","35","2","3","2","2","0","15","3","2","72","2",""
"vCommander+Fremont","60","39","32","25","28","43","16","74","40","36","35","28","39","51","46","2","3","61","52","48","53","55","82","61","57","71","93","96","79","67","32","33","18","46","60","47","45","38","40","30","57","43","20","29","24","19","20","106","118","35","52","30","52","22","34","26","47","33","45","24","19","65","73","65","49","80","166","155","56","96","89","104","84","55","45","75","384","82","114","115","69","85","93","97","132","91","0","107","67","80","94","121","64","106","56","70","56","126","138","143","98","70","151","141","200","160","145","96","59","113","106","128","120","97","99","63","112","92","111","115","95","87","83","127","115","120","118","137","121","79","91","105","121","111","61","63","32","114","101","123","121","140","122","97","165","128","173","129","161","123","91","97","120","135","121","115","113","68","57","131","115","151","156","154","118","187","179","153","135","151","142","102","151","140","133","136","132","157","136","145","123","179","139","176","173","136","164","162","179","159","186","189","150","170","173","188","155","187","191","157","181","185","205","175","174","164","126","152","167","183","158","166","175","140","158","163","156","202","156","166","136","175","0","119","140","141","163","132","153","159","129","435","182","163","119","155","169","153","419","197","158","111","143","114","100","191","159","6","124","177","280","157","197","259","223","190","148","218","198","407","79","78","112","215","236","141","396","754","179","252","270","226","271","835","209","457","305","132","253","158","268","229","285","267","285","221","103","301","280","289","200","298","476","397","740","907","820","256","241","196","210","219","218","183","111","106","148","44","61","71","104","73","76","81","117","114","90","108","78","69","58","53","79","51","78","45","40","69","63","70","47","68","53","45","68","57","67","46","50","40","29","42","52","67","30","55","36","34","45","163","65","16","17","38","40","56","63","63","38","48","38","31","50","55","38",""
"vCommander+IDC","46","79","26","24","22","20","41","121","36","43","42","33","3","173","35","4","4","197","37","43","47","32","37","42","62","66","59","74","64","123","64","4","68","63","95","88","195","113","70","116","70","229","60","100","60","57","55","59","60","26","94","41","90","87","150","55","77","48","43","91","27","27","41","87","50","41","58","37","52","76","31","24","55","80","52","27","158","40","58","21","22","17","41","64","45","24","2","8","32","17","40","18","16","21","22","29","42","45","42","36","20","19","41","40","38","52","39","40","22","26","26","22","38","25","24","25","17","23","24","20","21","19","25","18","22","18","22","21","26","20","18","22","17","19","6","7","12","40","23","22","21","23","19","23","49","25","22","19","24","22","19","21","24","25","19","22","21","23","38","82","56","84","92","35","32","50","41","37","33","34","29","36","48","39","54","90","55","53","37","50","88","102","71","2","159","79","57","49","76","75","69","74","70","63","68","69","70","69","73","96","86","74","104","99","71","62","66","89","92","83","83","88","84","84","121","128","75","63","65","63","62","69","31","150","219","60","63","65","34","65","95","329","156","75","83","80","87","96","390","708","176","67","88","94","166","185","159","52","144","152","174","181","195","203","85","84","90","113","122","299","138","34","22","106","135","113","174","437","109","119","105","146","156","215","175","96","104","50","137","78","224","83","76","83","104","81","93","312","181","986","503","384","738","448","892","515","186","69","65","44","53","61","63","75","52","25","38","92","79","62","70","114","119","94","105","107","94","101","100","66","50","66","99","49","54","60","38","55","61","56","39","47","65","46","43","52","59","46","63","47","43","25","45","48","21","55","41","460","312","181","112","21","38","76","88","73","106","95","29","0","66","40","26","38","31",""
