"date","20150618","20150619","20150620","20150621","20150622","20150623","20150624","20150625","20150626","20150627","20150628","20150629","20150630","20150701","20150702","20150703","20150704","20150705","20150706","20150707","20150708","20150709","20150710","20150711","20150712","20150713","20150714","20150715","20150716","20150717","20150718","20150719","20150720","20150721","20150722","20150723","20150724","20150725","20150726","20150727","20150728","20150729","20150730","20150731","20150801","20150802","20150803","20150804","20150805","20150806","20150807","20150808","20150809","20150810","20150811","20150812","20150813","20150814","20150815","20150816","20150817","20150818","20150819","20150820","20150821","20150822","20150823","20150824","20150825","20150826","20150827","20150828","20150829","20150830","20150831","20150901","20150902","20150903","20150904","20150905","20150906","20150907","20150908","20150909","20150910","20150911","20150912","20150913","20150914","20150915","20150916","20150917","20150918","20150919","20150920","20150921","20150922","20150923","20150924","20150925","20150926","20150927","20150928","20150929","20150930","20151001","20151002","20151003","20151004","20151005","20151006","20151007","20151008","20151009","20151010","20151011","20151012","20151013","20151014","20151015","20151016","20151017","20151018","20151019","20151020","20151021","20151022","20151023","20151024","20151025","20151026","20151027","20151028","20151029","20151030","20151031","20151101","20151102","20151103","20151104","20151105","20151106","20151107","20151108","20151109","20151110","20151111","20151112","20151113","20151114","20151115","20151116","20151117","20151118","20151119","20151120","20151121","20151122","20151123","20151124","20151125","20151126","20151127","20151128","20151129","20151130","20151201","20151202","20151203","20151204","20151205","20151206","20151207","20151208","20151209","20151210","20151211","20151212","20151213","20151214","20151215","20151216","20151217","20151218","20151219","20151220","20151221","20151222","20151223","20151224","20151225","20151226","20151227","20151228","20151229","20151230","20151231","20160101","20160102","20160103","20160104","20160105","20160106","20160107","20160108","20160109","20160110","20160111","20160112","20160113","20160114","20160115","20160116","20160117","20160118","20160119","20160120","20160121","20160122","20160123","20160124","20160125","20160126","20160127","20160128","20160129","20160130","20160131","20160201","20160202","20160203","20160204","20160205","20160206","20160207","20160208","20160209","20160210","20160211","20160212","20160213","20160214","20160215","20160216","20160217","20160218","20160219","20160220","20160221","20160222","20160223","20160224","20160225","20160226","20160227","20160228","20160229","20160301","20160302","20160303","20160304","20160305","20160306","20160307","20160308","20160309","20160310","20160311","20160312","20160313","20160314","20160315","20160316","20160317","20160318","20160319","20160320","20160321","20160322","20160323","20160324","20160325","20160326","20160327","20160328","20160329","20160330","20160331","20160401","20160402","20160403","20160404","20160405","20160406","20160407","20160408","20160409","20160410","20160411","20160412","20160413","20160414","20160415","20160416","20160417","20160418","20160419","20160420","20160421","20160422","20160423","20160424","20160425","20160426","20160427","20160428","20160429","20160430","20160501","20160502","20160503","20160504","20160505","20160506","20160507","20160508","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615","20160616","20160617"
"Fremont","8","151","5","7","11","9","14","13","46","2","4","54","5","6","67","8","3","3","6","4","6","11","88","4","4","9","8","81","5","116","8","3","4","9","5","11","4","4","4","4","5","3","14","12","3","4","6","4","5","4","16","3","5","16","114","4","13","94","3","4","75","53","102","86","4","4","4","4","8","6","11","4","4","4","5","4","4","10","59","4","5","4","5","6","4","13","3","73","3","3","5","14","58","2","4","4","3","6","61","46","3","6","10","3","7","49","17","3","7","3","5","6","15","3","3","3","6","3","5","15","4","8","16","12","16","14","27","16","15","18","16","17","17","26","66","16","17","17","18","17","23","18","16","17","19","11","9","20","11","9","21","18","10","10","23","10","11","21","9","9","8","35","9","9","20","9","9","10","7","38","7","8","9","24","12","31","13","8","9","13","14","9","43","8","9","16","80","89","10","10","10","10","8","9","10","9","10","9","9","8","10","10","52","34","48","9","23","9","11","9","29","5","5","15","5","6","5","28","5","5","14","6","4","70","17","5","7","64","29","5","5","7","19","5","6","10","5","4","4","25","3","5","13","5","4","23","5","3","6","2","34","63","71","67","10","12","3","3","4","25","5","4","12","3","3","6","29","84","3","9","3","5","50","102","10","213","4","6","3","3","4","4","3","10","28","4","4","4","23","4","4","15","4","6","33","269","8","9","32","13","14","41","11","10","9","79","15","14","170","203","11","26","13","17","16","40","11","10","26","14","12","422","130","14","9","11","28","15","302","96","310","89","30","18","17","23","317","92","60","14","22","88","105","29","344","135","28","10","274","51","9","38","8","32","33","15","20","36","17","6","40","17","14","18","15",""
"IDC","25","7","6","7","13","7","9","6","6","27","5","4","12","8","6","17","19","7","45","21","13","30","15","5","5","6","5","10","6","57","43","4","21","19","6","45","7","145","6","34","14","18","37","25","14","10","18","11","20","50","36","10","10","11","5","6","21","5","4","5","5","6","8","25","5","5","5","6","7","5","31","5","6","5","7","5","6","25","5","5","8","5","5","4","103","51","10","40","10","7","8","54","12","6","15","8","9","7","93","8","7","18","6","7","8","13","128","7","8","10","7","6","36","7","8","26","39","11","14","79","9","12","47","18","25","23","94","20","23","21","27","19","22","118","25","22","50","25","25","48","119","24","22","26","55","17","14","157","15","15","64","15","16","13","143","10","14","65","18","15","-8","15","211","12","87","16","14","14","17","173","13","69","15","17","14","175","22","13","15","23","77","20","155","8","16","18","23","12","15","128","12","18","18","14","13","14","14","14","15","19","20","23","19","194","35","18","60","47","29","26","203","10","13","78","23","24","20","91","12","16","101","101","15","22","41","121","16","100","40","18","52","170","40","15","21","549","14","15","11","141","8","10","72","9","15","228","6","31","58","15","10","20","9","207","10","55","18","14","10","126","9","12","49","10","14","10","149","32","10","62","16","9","12","144","9","21","82","20","13","109","11","10","12","80","158","16","11","9","222","15","9","51","33","31","163","5","13","12","68","26","11","178","17","11","11","100","12","15","147","7","12","10","126","37","23","259","12","15","103","17","15","67","163","11","12","15","46","12","12","149","14","12","88","23","25","15","12","14","207","129","19","16","13","161","7","9","18","145","16","10","11","206","10","168","12","17","20","183","14","0","164","17","23","15","20",""
"vCommander+Fremont","92","73","108","38","39","44","40","35","18","15","17","18","32","58","18","17","15","28","19","32","22","17","24","16","19","17","24","20","21","20","18","17","15","24","21","18","22","20","20","68","21","19","45","30","25","27","28","28","30","20","24","23","22","27","23","42","28","23","19","20","21","23","29","20","24","20","24","20","22","21","31","22","19","21","22","17","21","23","20","21","21","23","24","19","44","18","0","18","18","18","22","21","22","17","19","18","17","19","19","18","22","21","18","22","24","21","20","19","21","22","27","23","22","28","19","21","26","26","22","22","23","24","24","32","35","33","36","38","36","38","37","35","38","37","34","29","31","36","38","34","36","36","32","39","33","30","30","26","26","24","26","26","26","29","32","28","29","31","35","35","29","79","29","22","26","25","33","35","32","28","27","28","30","34","30","29","24","25","23","26","28","39","33","24","28","22","33","27","27","26","27","25","24","25","23","26","26","29","23","24","25","24","27","34","28","23","24","29","30","24","21","23","23","21","20","21","22","24","26","23","23","23","10","20","22","20","20","19","20","17","21","23","22","23","34","32","45","24","29","20","20","18","20","20","23","28","42","349","22","19","18","34","21","25","21","21","21","22","26","36","22","15","19","20","19","19","22","17","19","20","18","22","23","20","22","17","20","20","35","29","28","24","19","20","17","19","18","64","39","21","17","21","35","24","17","16","19","20","17","25","21","235","45","39","38","35","24","24","22","23","26","21","33","21","25","23","19","20","22","23","22","18","23","22","25","21","18","21","22","24","20","22","22","22","24","26","24","134","24","24","23","26","19","18","26","18","17","17","34","40","154","66","23","18","20","28","18","19","20","20","17","20","17","19","18",""
"vCommander+IDC","37","29","18","17","18","21","11","19","11","12","14","13","13","13","14","12","14","15","16","15","15","13","12","13","14","14","15","15","13","13","18","12","13","15","17","14","14","13","17","38","14","13","15","15","20","14","14","23","20","15","16","15","14","14","16","59","28","15","20","16","15","15","26","16","15","15","17","16","14","18","21","15","15","17","37","17","27","23","15","17","16","14","18","14","27","15","15","0","14","15","18","25","13","14","15","15","14","16","19","14","13","14","14","17","18","17","15","14","16","15","16","18","16","15","14","15","16","17","19","39","20","20","23","27","30","36","31","31","26","33","31","29","31","35","30","30","27","33","31","33","33","31","32","35","29","22","23","29","18","23","23","25","23","24","24","23","25","23","24","24","36","26","24","22","21","25","26","25","30","23","17","24","24","23","20","30","19","20","26","25","24","36","25","19","25","27","29","27","28","25","23","21","24","26","25","28","25","21","24","25","34","29","35","35","27","25","35","30","32","30","26","26","24","30","27","26","23","30","25","24","33","27","21","25","29","26","25","26","27","27","24","40","36","58","23","34","37","16","80","127","127","199","316","334","257","561","0","839","190","238","293","498","0","478","336","631","491","561","1280","569","685","214","243","111","35","55","133","224","37","23","20","28","180","196","338","274","65","50","17","22","23","17","17","54","55","108","142","182","303","0","0","245","306","609","330","352","429","134","127","37","26","34","84","21","21","37","19","18","23","18","20","20","18","21","19","20","18","18","24","21","20","17","20","20","20","21","19","20","19","19","18","19","18","19","19","21","19","19","19","25","21","19","17","17","15","14","51","14","14","15","15","14","13","16","14","14","17","16","15","0","14","16","16","19","16",""
