"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","19","20","20","20","19","19","19","20","19","17","17","139","18","18","19","18","19","18","18","18","19","19","19","20","18","18","18","18","19","19","19","20","21","19","27","19","18","18","17","17","16","19","20","19","18","18","19","19","19","18","18","17","18"
"IDC","24","30","30","30","33","30","30","23","22","20","20","35","21","22","20","21","23","20","21","23","22","23","25","23","22","22","18","17","23","23","28","28","29","22","21","22","21","22","22","21","22","19","19","20","20","20","22","25","21","23","17","23","21"
"vCommander+Fremont","28","26","26","27","29","28","26","23","24","25","22","19","24","22","25","27","27","26","23","25","25","28","27","29","24","20","20","19","20","20","20","20","21","20","20","22","21","20","20","20","20","19","20","20","20","20","19","19","20","20","20","19","28"
"vCommander+IDC","21","21","20","20","19","20","22","20","21","22","21","20","23","23","24","24","25","25","25","26","24","26","26","24","24","26","26","28","31","33","29","29","27","19","16","16","24","16","18","14","11","16","15","16","15","15","15","15","16","15","13","16","29"
