"date","20150615","20150622","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613"
"Fremont","18","19","19","19","19","20","19","19","19","19","19","16","18","16","17","18","17","17","18","17","17","18","17","18","18","18","18","17","18","18","17","17","17","16","17","17","18","17","16","16","16","15","15","16","17","16","16","16","16","16","17","16","17"
"IDC","28","27","26","30","26","24","27","27","24","21","21","19","19","19","19","20","19","19","21","19","19","18","18","19","19","19","19","18","18","17","20","19","20","20","21","20","19","19","18","20","18","18","17","17","16","17","17","18","17","17","17","17","16"
"vCommander+Fremont","22","22","28","26","25","26","27","26","25","22","22","22","21","21","22","21","24","25","23","24","22","22","22","25","25","23","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","19","19","20","19","20","19","19","20","20","20"
"vCommander+IDC","18","19","20","22","20","19","19","19","23","20","21","23","21","22","22","23","24","24","24","26","25","26","25","27","27","24","23","23","27","27","29","33","29","28","25","17","17","16","17","16","15","14","15","15","15","15","15","15","15","15","15","15","16"
