"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","1","1","2","10","2","2","2","1","1","1","1","7","8","18","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","34","3","2","2","12","32","289","2","2","136","2","1","1","1","1","1","1","1","1","1","1"
"IDC","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2","1","1","1","1","1","1","2","5","4","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","1","1","2"
"vCommander+Fremont","75","1","2","1","1","10","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","1","1","2","1","1","1","2","1","1","1","2","19","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"vCommander+IDC","2","2","2","2","2","2","2","2","2","2","1","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","2","4","5","2","2","1","1","2","1","2","2","1","2","1","2","1","1","1","1","2","2","2"
