"date","20150614","20150615","20150616","20150617","20150618","20150619","20150620","20150621","20150622","20150623","20150624","20150625","20150626","20150627","20150628","20150629","20150630","20150701","20150702","20150703","20150704","20150705","20150706","20150707","20150708","20150709","20150710","20150711","20150712","20150713","20150714","20150715","20150716","20150717","20150718","20150719","20150720","20150721","20150722","20150723","20150724","20150725","20150726","20150727","20150728","20150729","20150730","20150731","20150801","20150802","20150803","20150804","20150805","20150806","20150807","20150808","20150809","20150810","20150811","20150812","20150813","20150814","20150815","20150816","20150817","20150818","20150819","20150820","20150821","20150822","20150823","20150824","20150825","20150826","20150827","20150828","20150829","20150830","20150831","20150901","20150902","20150903","20150904","20150905","20150906","20150907","20150908","20150909","20150910","20150911","20150912","20150913","20150914","20150915","20150916","20150917","20150918","20150919","20150920","20150921","20150922","20150923","20150924","20150925","20150926","20150927","20150928","20150929","20150930","20151001","20151002","20151003","20151004","20151005","20151006","20151007","20151008","20151009","20151010","20151011","20151012","20151013","20151014","20151015","20151016","20151017","20151018","20151019","20151020","20151021","20151022","20151023","20151024","20151025","20151026","20151027","20151028","20151029","20151030","20151031","20151101","20151102","20151103","20151104","20151105","20151106","20151107","20151108","20151109","20151110","20151111","20151112","20151113","20151114","20151115","20151116","20151117","20151118","20151119","20151120","20151121","20151122","20151123","20151124","20151125","20151126","20151127","20151128","20151129","20151130","20151201","20151202","20151203","20151204","20151205","20151206","20151207","20151208","20151209","20151210","20151211","20151212","20151213","20151214","20151215","20151216","20151217","20151218","20151219","20151220","20151221","20151222","20151223","20151224","20151225","20151226","20151227","20151228","20151229","20151230","20151231","20160101","20160102","20160103","20160104","20160105","20160106","20160107","20160108","20160109","20160110","20160111","20160112","20160113","20160114","20160115","20160116","20160117","20160118","20160119","20160120","20160121","20160122","20160123","20160124","20160125","20160126","20160127","20160128","20160129","20160130","20160131","20160201","20160202","20160203","20160204","20160205","20160206","20160207","20160208","20160209","20160210","20160211","20160212","20160213","20160214","20160215","20160216","20160217","20160218","20160219","20160220","20160221","20160222","20160223","20160224","20160225","20160226","20160227","20160228","20160229","20160301","20160302","20160303","20160304","20160305","20160306","20160307","20160308","20160309","20160310","20160311","20160312","20160313","20160314","20160315","20160316","20160317","20160318","20160319","20160320","20160321","20160322","20160323","20160324","20160325","20160326","20160327","20160328","20160329","20160330","20160331","20160401","20160402","20160403","20160404","20160405","20160406","20160407","20160408","20160409","20160410","20160411","20160412","20160413","20160414","20160415","20160416","20160417","20160418","20160419","20160420","20160421","20160422","20160423","20160424","20160425","20160426","20160427","20160428","20160429","20160430","20160501","20160502","20160503","20160504","20160505","20160506","20160507","20160508","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614"
"Fremont","2","2","32","3","3","12","1","2","2","3","2","3","2","2","2","4","132","3","7","3","2","3","2","3","2","2","2","2","2","2","4","2","2","64","2","2","2","5","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","15","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","1","1","2","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","1","2","1","1","1","2","2","2","2","2","9","175","2","3","2","2","2","2","2","3","2","2","2","1","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","3","2","1","2","2","2","2","2","2","2","2","3","3","18","2","2","241","2","30","27","248","284","164","318","2","132","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","97","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","139","2","2","1","2","2","2","3","2","2","2","2","2","2"
"IDC","3","4","4","4","4","4","3","3","3","3","4","4","6","3","3","4","5","297","4","3","2","548","10","4","4","5","4","4","4","3","4","4","4","5","3","7","4","3","4","4","4","3","3","5","5","5","4","5","4","4","4","4","4","4","5","4","4","4","4","5","4","5","3","3","3","3","4","5","4","4","4","4","114","4","3","5","4","4","3","3","3","3","3","3","2","3","3","3","3","3","2","2","4","3","3","2","3","3","2","2","2","2","3","3","2","2","3","2","4","3","3","3","3","2","2","3","3","2","2","2","2","2","3","2","4","2","3","3","2","3","2","3","3","3","2","2","3","2","2","3","4","3","2","2","2","3","3","3","3","3","4","4","3","4","3","3","2","3","2","2","3","3","2","2","3","2","3","3","3","3","3","3","3","2","3","3","2","2","3","2","3","3","3","3","3","2","2","1","2","2","3","2","3","3","3","2","3","3","2","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","104","24","16","4","3","8","13","12","3","5","3","12","3","11","22","5","13","5","2","2","3","2","2","3","2","2","2","3","2","2","2","2","2","3","3","2","2","2","5","2","2","2","2","3","2","2","3","3","2","2","2","2","2","16","3","3","3","3","2","3","3","3","3","3","3","5","4","258","3","2","4","3","3","3","3","3","2","3","2","2","3","3","3","2","2","2","3","3","2","3","2","3","2","2","2","2","3","2","2","5","2","2","3","2","2","2","2","2","2","2","2","3","3","2","2","2","3","2","2","2","2","3","2","2","2","305","2","544","2","2","2","2","3","2","2","2","2","0","3","2","2"
"vCommander+Fremont","2","2","2","3","12","2","2","2","2","21","2","68","2","14","3","2","3","2","3","2","3","12","29","29","28","36","53","57","4","29","71","86","65","2","13","2","2","31","21","20","19","18","2","2","34","3","2","2","3","2","2","62","80","2","29","13","3","2","3","2","7","2","19","2","2","65","48","63","32","95","124","132","31","76","71","115","96","44","3","80","401","49","118","137","43","67","78","85","140","107","0","2","24","75","45","100","62","136","63","49","27","53","60","151","123","67","128","148","196","148","142","119","61","63","63","149","99","98","121","67","73","110","132","86","97","99","3","112","141","178","98","176","142","68","86","74","142","84","65","65","3","69","105","81","88","143","141","81","47","134","178","68","148","147","51","99","150","100","76","109","128","67","19","148","98","77","175","133","75","132","174","174","57","171","131","72","153","136","130","57","43","145","99","109","92","134","81","183","169","99","166","139","185","137","198","195","108","186","152","202","131","190","198","111","186","140","211","143","133","163","90","129","141","161","134","150","170","104","54","144","101","121","132","163","104","175","0","59","57","125","164","76","80","137","109","442","181","167","72","100","174","203","460","205","157","71","132","47","94","132","123","10","115","199","220","161","153","233","235","160","104","188","162","414","69","74","57","254","223","136","434","759","111","258","310","160","272","886","154","469","281","111","192","148","279","236","290","219","311","198","88","300","276","259","128","284","383","314","646","744","684","250","229","214","206","207","194","194","127","57","12","3","3","3","119","3","12","3","147","4","3","115","8","3","3","12","61","3","107","3","3","52","54","3","3","67","21","3","56","3","3","3","59","3","3","3","50","20","2","62","3","2","4","126","3","2","3","30","3","3","81","3","3","64","4","2","3"
"vCommander+IDC","5","4","6","7","4","57","4","3","4","5","5","96","4","4","5","5","3","210","5","4","4","5","7","5","5","4","3","4","5","4","5","6","4","153","93","7","87","15","4","4","200","119","4","98","27","160","6","5","4","6","6","7","3","4","123","3","66","4","175","6","3","4","3","107","5","4","4","86","7","3","3","3","18","4","5","5","18","110","4","4","172","3","20","4","4","3","4","5","3","3","2","4","5","3","5","4","3","4","5","6","5","5","6","3","3","4","5","5","5","6","5","4","4","6","5","4","4","3","3","4","4","4","3","3","3","3","4","3","3","4","6","5","3","3","3","4","3","4","4","3","4","4","5","3","3","5","3","5","6","4","3","3","3","3","4","3","4","4","4","5","4","5","4","88","8","26","6","5","5","29","12","11","4","5","4","6","18","6","5","20","18","5","5","36","22","31","89","3","137","119","7","7","68","50","72","53","96","49","90","56","64","73","52","139","126","99","97","127","70","52","89","59","108","49","69","106","102","118","86","170","9","40","62","71","31","64","29","114","139","22","53","16","26","73","65","322","181","78","124","40","125","38","301","562","146","6","102","28","100","169","167","28","190","144","201","220","147","216","65","104","67","107","70","237","73","4","3","28","68","38","102","410","112","144","80","114","127","210","187","35","52","29","137","46","226","32","47","11","19","59","64","289","211","1064","477","414","672","265","1042","466","163","5","26","5","3","4","33","7","4","3","4","4","52","6","28","59","89","59","47","89","5","54","41","12","5","6","84","5","3","4","3","5","4","30","3","3","4","19","4","4","4","4","4","3","34","3","3","4","3","3","3","442","424","213","25","3","3","7","62","97","42","40","4","0","9","6","4"
