"date","20150615","20150622","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613"
"Fremont","87","75","89","75","82","80","78","77","76","83","77","83","86","105","88","84","73","85","91","87","80","91","103","86","91","102","93","105","79","74","84","93","94","80","87","90","98","91","80","97","80","100","97","168","107","94","115","85","131","92","114","112","101"
"IDC","115","119","112","215","115","110","154","179","133","114","115","143","97","112","103","129","124","136","120","147","107","117","101","127","99","105","103","107","142","82","113","97","138","94","115","90","107","98","170","80","96","93","128","164","123","171","137","265","229","231","231","164","132"
"vCommander+Fremont","80","63","93","223","228","222","234","89","74","80","79","75","74","76","75","83","79","80","72","75","69","77","84","86","98","85","91","98","96","91","97","73","72","71","100","90","97","84","83","81","90","86","84","115","103","116","110","94","103","97","109","107","94"
"vCommander+IDC","117","133","118","259","255","256","274","119","117","107","112","119","110","115","102","116","120","139","129","113","123","119","137","133","143","132","114","218","247","256","167","146","154","142","301","310","333","294","287","305","303","297","319","299","293","284","298","295","299","290","296","268","291"
