"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","70","70","74","79","75","73","86","88","79","80","78","86","74","88","86","90","84","101","90","95","95","83","94","86","83","89","84","80","84","84","95","95","97","97","91","100","103","131","150","95","78","89","78","95","120","84","78","70","75","80","85","80","75"
"IDC","121","119","120","120","121","125","132","124","132","125","115","150","126","125","136","131","123","130","123","95","90","105","118","111","125","132","143","156","137","146","134","159","161","164","161","141","167","157","141","136","142","165","131","179","178","138","142","135","164","183","148","133","164"
"vCommander+Fremont","73","61","96","114","70","67","73","77","75","75","76","90","72","125","130","97","95","98","95","120","123","94","96","82","94","98","96","96","103","114","109","78","103","111","102","113","116","126","142","93","70","113","69","122","121","78","74","74","71","76","82","71","69"
"vCommander+IDC","184","120","144","150","127","115","143","143","99","96","101","126","102","174","194","139","155","115","111","152","137","120","187","167","172","170","162","170","176","186","119","179","177","114","127","142","149","139","132","126","151","177","123","184","178","127","122","125","133","128","143","138","160"
