"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","35","3","4","4","3","3","4","4","4","4","4","4","3","3","3","3","4","18","19","19","10","11","10","8","10","10","10","10","12","6","6","5","5","4","3","17","3","3","3","4","4","9","11","11","11","11","16","14","19","9","12","13","9"
"IDC","4","5","5","5","8","5","5","5","5","5","5","9","6","5","8","9","11","24","24","26","15","16","14","15","15","17","14","15","20","18","16","20","16","11","10","10","10","10","18","11","12","16","11","11","16","14","14","13","12","10","11","10","10"
"vCommander+Fremont","17","19","19","19","21","25","23","22","20","21","18","19","18","17","20","22","20","36","34","35","26","31","28","25","26","29","27","25","27","23","22","19","21","20","22","21","22","18","20","19","21","20","37","24","22","21","23","24","19","22","18","17","19"
"vCommander+IDC","14","14","14","14","14","14","14","16","15","15","16","15","14","14","15","15","20","31","30","33","23","24","25","25","23","25","25","25","31","28","27","25","25","109","207","491","561","19","108","17","71","343","19","18","19","20","18","18","14","14","15","15","14"
