"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","43","15","15","34","7","5","7","39","30","5","12","15","9","14","8","3","8","21","22","19","10","12","9","9","12","23","22","10","18","9","7","32","9","5","4","41","5","17","15","6","5","56","22","46","14","82","86","59","75","52","16","16","17"
"IDC","5","12","8","23","21","12","13","6","7","8","12","12","17","16","14","14","12","24","24","29","17","15","24","13","19","19","30","24","24","15","18","20","8","7","14","10","12","14","15","15","13","10","14","13","24","22","22","75","21","31","25","60","22"
"vCommander+Fremont","7","9","7","7","11","8","8","7","8","9","8","7","7","7","7","9","12","26","24","29","18","16","18","14","13","15","13","13","14","11","10","6","8","11","12","7","11","7","24","8","20","9","51","19","9","10","10","34","7","43","6","6","15"
"vCommander+IDC","6","6","7","6","9","8","8","8","7","18","11","10","7","7","10","8","20","34","26","32","18","16","20","18","22","17","17","16","17","15","10","6","16","111","353","191","155","98","145","16","167","189","40","9","12","10","11","12","8","8","6","11","10"
