"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","4","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","3","164","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"IDC","4","5","4","4","4","4","4","4","4","4","3","3","3","2","3","2","3","3","3","3","3","2","3","3","3","2","3","3","2","2","2","13","5","5","2","2","2","2","2","3","3","3","3","2","2","2","2","2","2","2","2","2","2"
"vCommander+Fremont","2","3","29","13","19","2","13","2","65","71","80","78","63","67","142","98","99","141","69","88","134","100","132","153","109","134","185","186","140","141","132","76","137","174","115","161","162","258","272","236","259","383","194","3","4","3","21","3","3","3","3","3","60"
"vCommander+IDC","5","5","4","7","15","6","4","5","4","5","4","4","4","5","5","4","3","3","4","5","3","4","8","6","6","31","53","73","89","102","62","29","78","125","144","147","70","102","114","46","289","265","4","28","47","5","4","4","3","25","9","4","7"
