"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","114","93","108","94","101","104","103","113","100","104","113","267","120","106","84","108","122","113","124","132","139","125","139","137","127","127","89","71","115","127","128","114","125","119","140","120","116","139","131","124","131","159","141","134","146","130","146","130","140","137","143","137","133"
"IDC","154","191","165","168","172","180","199","168","155","168","152","228","123","148","135","156","151","148","140","143","145","150","139","137","140","144","126","126","144","127","152","141","157","138","227","130","188","111","132","149","183","173","163","175","166","217","200","192","198","197","154","143","170"
"vCommander+Fremont","143","146","172","177","177","127","65","75","75","68","66","194","65","68","62","67","63","79","77","83","83","95","93","90","92","94","91","91","93","83","79","91","103","99","100","91","90","106","122","104","102","129","116","125","116","102","120","104","108","115","105","111","127"
"vCommander+IDC","85","157","170","158","226","127","117","131","125","191","131","150","109","179","121","115","141","104","121","117","147","115","137","120","99","191","220","215","195","195","169","172","278","290","328","259","268","272","277","278","308","283","264","275","277","276","281","253","278","230","216","262","288"
