"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","29","14","18","32","5","6","7","43","36","6","12","15","12","19","12","5","9","17","25","18","14","13","14","12","15","25","20","9","26","11","9","28","8","8","6","37","8","19","55","7","8","51","25","64","19","89","122","77","105","63","21","22","24"
"IDC","4","16","13","20","37","19","21","7","8","9","8","31","15","21","25","18","27","33","40","45","42","39","49","45","39","45","31","15","56","54","52","50","123","38","51","47","32","41","42","56","47","46","50","47","66","47","44","60","52","61","59","87","56"
"vCommander+Fremont","17","26","21","19","27","27","24","25","22","22","20","20","19","19","21","23","24","36","34","35","26","30","35","30","27","29","25","25","27","23","23","18","24","25","71","23","22","19","20","24","28","21","62","24","21","21","21","39","20","50","20","17","25"
"vCommander+IDC","13","13","13","14","18","15","16","24","17","19","18","14","16","14","16","15","23","31","30","32","23","23","25","24","23","26","24","26","30","27","26","25","34","128","345","389","523","75","161","29","140","326","37","19","20","19","18","20","21","14","13","15","17"
