"date","20150622","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613"
"Fremont","18","13","29","6","16","8","6","5","3","3","7","4","17","2","4","5","6","2","2","3","11","2","4","3","1","2","2","3","2","2","4","3","37","9","6","4","5","9","90","174","6","3","18","3","8","7","4","8","3","2","31","6"
"IDC","6","9","136","8","19","5","12","9","8","4","25","9","7","2","3","5","2","3","2","3","2","6","3","3","3","3","4","2","3","3","2","2","82","14","11","3","2","7","17","6","4","65","10","6","3","2","8","2","2","54","84","3"
"vCommander+Fremont","36","38","36","61","59","43","30","59","32","93","75","132","83","84","111","130","103","101","111","86","124","128","104","144","144","139","155","170","176","168","163","164","121","191","192","124","207","186","318","347","249","241","548","177","82","93","57","59","51","45","54","48"
"vCommander+IDC","41","48","64","47","65","105","90","65","70","48","52","49","30","23","35","36","25","21","21","17","25","21","24","61","36","54","79","68","75","80","90","75","88","126","230","136","144","119","170","134","112","362","416","53","82","95","59","52","50","99","118","58"
