"date","20150629","20150706","20150713","20150720","20150727","20150803","20150810","20150817","20150824","20150831","20150907","20150914","20150921","20150928","20151005","20151012","20151019","20151026","20151102","20151109","20151116","20151123","20151130","20151207","20151214","20151221","20151228","20160104","20160111","20160118","20160125","20160201","20160208","20160215","20160222","20160229","20160307","20160314","20160321","20160328","20160404","20160411","20160418","20160425","20160502","20160509","20160516","20160523","20160530","20160606","20160613","20160620","20160627"
"Fremont","3","21","2","11","2","2","2","2","2","2","2","2","2","2","1","2","2","2","1","3","1","1","2","2","1","1","2","2","1","1","1","27","2","1","2","2","2","42","167","2","2","15","2","2","2","2","2","2","1","21","2","2","2"
"IDC","3","124","4","4","3","4","4","3","4","19","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","24","7","7","2","2","2","2","4","2","39","3","2","2","2","2","2","2","45","79","1","1","2"
"vCommander+Fremont","2","7","33","34","16","6","27","5","79","62","127","62","75","87","125","95","91","127","71","98","117","92","119","133","102","132","164","167","144","130","134","80","172","200","102","180","174","318","333","239","219","464","171","22","40","27","29","18","20","24","22","10","63"
"vCommander+IDC","5","34","4","50","63","30","30","43","15","23","30","3","4","4","5","3","3","3","3","4","3","4","23","8","13","58","56","85","84","91","63","57","126","182","118","145","74","136","107","74","368","377","8","34","43","15","9","8","65","105","28","6","20"
